name,category,ratring_score,rating_count,feature,addr
전주 뜰안채펜션,펜션,4.8,172,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 어진길 90-10
전주 우아동 필,모텔,4.8,279,전북대 차량 8분(위치보기),전북특별자치도 전주시 덕진구 도당산로 65-4 (해바라기모텔)
전주 금암동 이카로스 드라이브인 무인텔,모텔,4.3,"2,006",버스터미널1분⚡ 전주역 한옥마을10분⚡,전북특별자치도 전주시 덕진구 용산2길 20
전주 금암동 브라운도트 전주터미널점,모텔,4.9,"1,130","터미널도보1분,한옥마을10분,전주역10분",전북특별자치도 전주시 덕진구 용산1길 12-4 (굿모닝모텔)
전주 도란도란카라반글램핑펜션,펜션,4.8,108,전주시 완산구 노송동,전북 전주시 완산구 간납로 13 
전주 더 메이 호텔,4성급 호텔,4.9,46,전주월드컵경기장 4.2km,전라북도 전주시 덕진구 기린대로 800(팔복동1가)
전주 전주한옥마을웨이펜션,펜션,4.5,89,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 은행로 16
전주 우아동 이츠 호텔,모텔,4.8,"1,265","한옥마을(10분), 전주역(2분)",전북 전주시 덕진구 아중2길 18-6 (우아동2가)
전주 우아동 이츠 호텔,모텔,4.8,"1,265","한옥마을(10분), 전주역(2분)",전북특별자치도 전주시 덕진구 아중2길 18-6
전주 중화산동 투썸호텔,모텔,4.9,750,전주 한옥마을/막걸리타운 차량 10분,전북특별자치도 전주시 완산구 한두평2길 13-3 (투썸호텔)
전주 호텔 아라리,2성급 호텔,4.7,118,전주 고속 버스터미널 도보 5분 거리,전라북도 전주시 덕진구 떡전5길 24
전주 중화산동 화려한외출Ⅱ,모텔,4.4,"1,272",전주시 완산구 중화산동2가 142-19,전북특별자치도 전주시 완산구 한두평2길 8-11 (화려한외출Ⅱ)
전주 신시가지 제이메이트 호텔,모텔,4.7,378,전라북도청 도보 8분(위치보기),전북특별자치도 전주시 완산구 홍산북로 60-12
아늑호텔 전주점,호텔,5.0,36,전주역 차량 5분,전라북도 전주시 덕진구 산정3길 37 (M모텔)
전주 별자리한옥스테이펜션,펜션,4.8,180,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 최명희길 26-17
전주한옥마을 황실관광호텔,전통호텔,4.6,432,전주한옥마을 안에 위치,전라북도 전주시 완산구 은행로 22
전주 왕의지밀 한옥호텔,전통호텔,4.3,297,전주 한옥마을 차량 7분,전라북도 전주시 완산구 춘향로 5218-20
전주 우아동 명품 HOTEL,모텔,4.7,189,전주역 도보 5분(위치보기),전북특별자치도 전주시 덕진구 우아1길 6
전주 한옥마을담소황토펜션,펜션,4.6,142,전주시 완산구 풍남동,전북 전주시 완산구 향교길 71 
전주 취락당 한옥스테이,게스트하우스,4.8,182,한옥마을 내 위치,전북특별자치도 전주시 완산구 동문길 33-19
전주 산정동 칸,모텔,4.5,"1,628",한옥마을 10분 전주역 2분 터미널 7분,전북특별자치도 전주시 덕진구 산정2길 24-3
전주 마리 호텔,호텔,4.9,237,전주한옥마을 2.97km 자동차로 10분,전라북도 전주시 덕진구 아중중앙로 26
전주 송천동 호텔 더 그레이(THE GRAY),모텔,4.8,855,GRAND OPEN 전주에코시티 신축호텔,전북특별자치도 전주시 덕진구 세병서로 18-6
전주 금암동 스토리 무인텔,모텔,4.8,532,전주터미널/전북대/전주종합경기장 근접위치,전북특별자치도 전주시 덕진구 용산2길 8
전주 한옥호텔 태조궁,전통호텔,4.6,75,전주한옥마을 약 1.2km,전라북도 전주시 완산구 전라감영로 40
전주 산정동 돈키호테 드라이브인,모텔,4.5,222,전주역 차량 5분(위치보기),전북특별자치도 전주시 덕진구 산정3길 17
전주 중화산동 몽블랑,모텔,4.7,472,중화산동 인근! 23.09 리모델링 완료,전북특별자치도 전주시 완산구 한두평2길 11
전주 우아동 하얏트,모텔,4.3,700,전주역 도보 5분◀눌러서 위치 확인 GO,전북특별자치도 전주시 덕진구 도당산로 65 (하얏트모텔)
호텔야자 전주터미널점,호텔,4.9,254,전주 터미널 도보 3분,전북 전주시 덕진구 용산2길 13 호텔야자 전주터미널점
전주 고사동 전주관광호텔,모텔,3.9,"1,694",전주시청 인근 위치 (✔️위치보기),전북특별자치도 전주시 완산구 전주객사5길 44-5 (전주관광호텔)
