name,category,rating_score,rating_count,address,lat,lng
전주 한옥마을 이택구 사랑채,게하 · 한옥,8.9,54명,전북 전주시 완산구 풍남동3가 53-19,35.8160819,127.1534564
전주 호텔 엑스오-XO-,모텔,8.8,329,전북특별자치도 전주시 덕진구 금암동 699-6,35.8352114,127.1311049
전주 하루 호텔 (HARU),호텔비즈니스,9,61명,전북 전주시 덕진구 산정동 863-3,35.8383751,127.1692313
전주한옥마을에 위치한 감성 숙소 | 전주 안녕 제제 제제의 미학,홈&빌라,9.1,4명,전북 전주시 완산구 경원동2가 40-5,35.8176774,127.1494163
전주 한옥마을 흥부가,게하 · 한옥,8.5,40명,전라북도 전주시 완산구 풍남동3가 67-25  흥부가,35.8151161,127.1519716
전주 래미안스테이,모텔,8.7,15명,전북 전주시 덕진구 우아동2가 925-4,35.8309586,127.1742425
전주 한옥마을 고현당,게하 · 한옥,8.7,29명,전북특별자치도 전주시 완산구 풍남동3가 16-13,35.8152722,127.153724
전주 낭만시대 게스트하우스,게하 · 한옥,8.4,111,전라북도 전주시 완산구 경원동1가 12-3  2F,35.8180926,127.1483953
전주 로니관광호텔,호텔3성급,8.6,82명,전북 전주시 완산구 고사동 186,35.8208252,127.1443089
전주 쉐르빌,모텔,8.2,145,전북특별자치도 전주시 덕진구 우아동2가 931-11,35.830494,127.1743067
호텔 시그니처 중화산동점,호텔비즈니스,8.5,7명,전북 전주시 완산구 중화산동2가 657-6,35.8160662,127.1238949
