원본파일,추출된이름,매칭된이름,유사도,결과
전주 모련.jpg,전주 모련,전주 모련,1.0,✔ 복사됨
전주 모헌한옥펜션.jpg,전주 모헌한옥펜션,전주 모헌한옥펜션,1.0,✔ 복사됨
전주 몽유화원 한옥스테이.jpg,전주 몽유화원 한옥스테이,전주 몽유화원 한옥스테이,1.0,✔ 복사됨
전주 민트 게스트하우스.jpg,전주 민트 게스트하우스,전주 민트 게스트하우스,1.0,✔ 복사됨
전주 민트게스트하우스펜션.jpg,전주 민트게스트하우스펜션,전주 민트 게스트하우스,0.88,🚫 복사 안함 (유사도 낮음)
전주 바라한호텔.jpg,전주 바라한호텔,전주 바라한호텔,1.0,✔ 복사됨
전주 백희게스트하우스펜션.jpg,전주 백희게스트하우스펜션,전주 백희게스트하우스펜션,1.0,✔ 복사됨
전주 별둘 자쿠지 독채 펜션.jpg,전주 별둘 자쿠지 독채 펜션,별둘 자쿠지 독채 펜션,0.8889,🚫 복사 안함 (유사도 낮음)
전주 별빛궁 한옥스테이.jpg,전주 별빛궁 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 별빛궁한옥펜션.jpg,전주 별빛궁한옥펜션,전주 해솔한옥펜션,0.7368,🚫 복사 안함 (유사도 낮음)
전주 별빛쉼터 한옥스테이.jpg,전주 별빛쉼터 한옥스테이,전주 퐁당 한옥스테이,0.75,🚫 복사 안함 (유사도 낮음)
전주 별빛쉼터게스트하우스.jpg,전주 별빛쉼터게스트하우스,전주 휴게스트하우스,0.7826,🚫 복사 안함 (유사도 낮음)
전주 별자리 한옥스테이.jpg,전주 별자리 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 별자리한옥스테이펜션.jpg,전주 별자리한옥스테이펜션,전주 교동백작한옥스테이펜션,0.7407,🚫 복사 안함 (유사도 낮음)
전주 별하 게스트하우스.jpg,전주 별하 게스트하우스,전주 하예랑 게스트하우스,0.88,🚫 복사 안함 (유사도 낮음)
전주 별하게스트하우스펜션.jpg,전주 별하게스트하우스펜션,전주 별하게스트하우스펜션,1.0,✔ 복사됨
"전주 봄,하루.jpg","전주 봄,하루",전주 봄 하루,0.8571,🚫 복사 안함 (유사도 낮음)
전주 봄날.jpg,전주 봄날,전주 봄날,1.0,✔ 복사됨
전주 부경당 한옥스테이.jpg,전주 부경당 한옥스테이,전주 부경당 한옥스테이,1.0,✔ 복사됨
전주 분 게스트하우스.jpg,전주 분 게스트하우스,전주 톡 게스트하우스,0.9091,✔ 복사됨
전주 뷰티 호텔.jpg,전주 뷰티 호텔,전주 금암동 뷰티 호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 브라운도트 덕진점.jpg,전주 브라운도트 덕진점,전주 브라운도트 덕진점,1.0,✔ 복사됨
전주 브라이튼 호텔.jpg,전주 브라이튼 호텔,전주 브라이튼 호텔,1.0,✔ 복사됨
전주 블루보트 게스트하우스.jpg,전주 블루보트 게스트하우스,전주 민트 게스트하우스,0.8462,🚫 복사 안함 (유사도 낮음)
전주 비지트호텔(VIZIT).jpg,전주 비지트호텔(VIZIT),전주 비지트 호텔VIZIT HOTEL,0.7429,🚫 복사 안함 (유사도 낮음)
전주 사계게스트하우스펜션.jpg,전주 사계게스트하우스펜션,전주 게스트하우스휴펜션,0.88,🚫 복사 안함 (유사도 낮음)
