accommodation_id,name,positive_count,negative_count,positive_percent,negative_percent,sentiment_score
1174,전주 담소 한옥스테이,115,5,95.8%,4.2%,0.958
1175,전주 취락당 펜션,45,5,90.0%,10.0%,0.9
1176,전주 우아동 마리호텔,303,15,95.3%,4.7%,0.953
1177,전주 송천동 호텔 더 그레이(THE GRAY),780,70,91.8%,8.2%,0.918
1178,전주 스토리모텔,468,42,91.8%,8.2%,0.918
1179,전주 한옥호텔 태조궁,102,16,86.4%,13.6%,0.864
1180,전주 산정동 돈키호테 드라이브인,279,23,92.4%,7.6%,0.924
1181,전주 중화산동 몽블랑,507,31,94.2%,5.8%,0.942
1182,전주 우아동 하얏트,515,83,86.1%,13.9%,0.861
1183,전주관광호텔,1344,309,81.3%,18.7%,0.813
1184,전주 신시가지 호텔모아,138,3,97.9%,2.1%,0.979
1185,전주 투헤븐호텔,1342,107,92.6%,7.4%,0.926
1186,전주 신시가지 호텔 아지트,803,86,90.3%,9.7%,0.903
1187,전주 우아동 FX,339,12,96.6%,3.4%,0.966
1188,전주 금암동 가온텔,6,3,66.7%,33.3%,0.667
1189,MH HOTEL 중화산점,326,17,95.0%,5.0%,0.95
1190,전주 신시가지 호텔 메세지,361,64,84.9%,15.1%,0.849
1191,전주 산정동 제이브라운 호텔,860,27,97.0%,3.0%,0.97
1192,전주 산정동 바른 숙박 (BARUN STAY),318,38,89.3%,10.7%,0.893
1193,전주 덕진동 H Avenue 전주덕진점(신관),196,7,96.6%,3.4%,0.966
1194,전주 경원동 경원,394,17,95.9%,4.1%,0.959
1195,전주 산정동 호텔토랑,256,17,93.8%,6.2%,0.938
1196,전주 중앙동 한옥호텔 궁,1085,197,84.6%,15.4%,0.846
1197,전주 우아동 임페리얼,48,8,85.7%,14.3%,0.857
1198,전주 금암동 호텔 K,231,47,83.1%,16.9%,0.831
1199,전주 우아동 호텔 라임(HOTEL LIME),1142,28,97.6%,2.4%,0.976
1200,전주 중화산동 Q,3813,283,93.1%,6.9%,0.931
1201,전주 신시가지 호텔 아이,395,56,87.6%,12.4%,0.876
1202,전주 중화산동 엘림호텔,347,35,90.8%,9.2%,0.908
1203,전주 우아동 호텔 자우리,677,61,91.7%,8.3%,0.917
1204,전주 중화산동 루이,248,29,89.5%,10.5%,0.895
1205,전주 서신동 투썸스테이,380,12,96.9%,3.1%,0.969
1206,전주 고사동 호텔한성,135,34,79.9%,20.1%,0.799
1207,호텔어라이브 전주 시화연풍,46,3,93.9%,6.1%,0.939
1208,전주 꽃자리 한옥스테이,72,2,97.3%,2.7%,0.973
1209,전주 풍남가족호텔(구.풍남관광호텔),62,7,89.9%,10.1%,0.899
