name,count
전주 한옥마을 가은채,22
전주한옥마을 독채 덕수궁 별관,22
전주 한옥마을숙박 꿈 한옥스테이,22
전주 행복가득한옥펜션,21
전주 취락당 펜션,21
완주 째즈호텔,21
전주 민트 게스트하우스,21
카누 호텔,21
전주 한옥마을 강령전,20
전주 다정 한옥스테이,20
전주 한옥마당 펜션,20
전주 한옥마을 성심,20
전주 한옥마을 여별,20
스마일호텔,20
익산 하늘숲펜션,20
전주 쑈드라이브인,20
전주 한옥마을장수펜션,19
전주 한옥마을 행복가득,19
전주 한옥 사계,19
전주 꽃자리 한옥스테이,18
전주 한옥 도원,18
김제 라온펜션,17
전주 한옥마을 혜윰,17
전주 두울나비랑 한옥스테이,17
전주 전주이야기펜션,17
전주 소리풍경 한옥스테이,17
전주 하운드호텔 덕진점,16
전주 유정 게스트하우스,16
전주 료칸호텔엣지,16
전주 우아동 월드,16
전주 우아동 수,16
전주 몽유화원 한옥스테이,16
에이치에비뉴호텔 덕진점,16
전주 한옥마을 별빛 쉼터,16
전주 시인과짜몽 게스트하우스,15
전주 독채펜션달빛소리,15
완주 HOTEL ONE,15
전주 서노송동 기린장,15
전주 우아동 올렛,15
전주 우아동 D드라이브인 무인텔,15
전주 한옥 스테이 사라,15
전주 덕진동 연화,14
전주 한옥마을 독채 강령전,14
전주 산정동 큐피트,14
이츠 호텔 전주,14
전주 한옥마을 더정가스테이,14
전주 아침스테이,14
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 옥상달빛,14
전주 혜윰 한옥스테이,14
전주 영하우스,13
도심속 골목가에 위치한 고즈넉한 분위기 속 편안함 대동고택,13
전주 래미안스테이,13
완주 하늘아래첫집펜션,13
전주 연우당 한옥스테이,13
완주 편백숲이야기펜션,13
전주 향교길선우가펜션,13
전주 하운드호텔 덕진공원점,13
전주 풍남가족호텔(구.풍남관광호텔),13
전주 분 게스트하우스,13
전주 한옥솔솔 스테이,13
전주 한옥 독채 꽃마르트,13
넘버25호텔 전주산정점,12
전주 한옥마을너울가지,12
전주 한옥마을 돌담집 본관,12
전주 안녕제제 게스트하우스,12
전주 스테이리봄,12
전주 어울림게스트하우스,12
전주 여가,12
전주 웨이,12
전주 서서학동 나나,12
전주 한옥마을 고희,12
전주 한옥마을 돌담집 안채,12
전주 스테이 호텔,12
전주 우아동 CF(씨에프),12
전주 한옥마을 숙박 체험관,11
전주한옥마을 온유,11
전주 한옥마을 천년마루,11
한 팀만을 위한 독채한옥 전주 소소정,11
전주 금암동 나라,11
완주 모악펜션,11
전주 한옥마을 돌담집 별관,11
전주 금암동 가온텔,11
한옥마을 내 위치한 독채 한옥 숙소 참다원,11
완주 숲속의정원펜션,10
전주 중화산동 파라다이스,10
전주 한옥이야기 스테이,10
전주 한옥마을 달빛향,10
전주 금암동 쇼 드라이브인,10
전주한옥마을 예술가의집 시간무늬,10
전주 푸른솔펜션,10
전주 한옥마을 뜰안채 본관,10
전주 테오리아,10
별둘 자쿠지 독채 펜션,10
전주 가인,10
전주 그네 한옥스테이,10
전주 호텔 포레,10
전주 그림 한옥스테이,9
반려동물 동반 가능 독채 감성숙소 향교길선우가,9
전주 소리풍경 펜션,9
전주 인후동 라임 무인텔,9
전주 예원당 한옥스테이,9
전주 중화산동 루이,9
전주 한옥마을 분 게스트하우스,9
전주한옥마을 하늘기와,8
전주 천년의아침 한옥스테이,8
전주 호텔 투썸스테이 중화산점,8
전주 한옥마을 한옥마당 본채,8
평 예쁘고 넓은 마음엔뜰 독채 숙소 전주 마음엔뜰,8
전주 한옥마을돼지꿈한옥펜션,8
전주 그리고봄 독채펜션,7
호텔 시그니처 중화산동점,7
전주 한옥마을 그림 게스트하우스,7
전주한옥마을 알지비 게스트하우스,7
전주 좋은날한옥펜션,7
전주 한옥마을하늘애한옥펜션,7
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 아침고요,7
아늑료칸호텔 전주점,7
전주 단경펜션,7
전주 한옥마을 건축문화상 수상한 이가한옥 펜션,7
전주 한옥고희펜션,7
전주 이오당펜션,7
전주 대명여관 게스트하우스,7
전주 한옥마당 스테이,7
전주 한옥다락 스테이 1호점,6
전주 더정가스테이,6
전주한옥마을 도화서가 스테이 독채펜션,6
완주 휴 모텔,6
전주 한옥마을 한옥독채풀빌라스테이소월,6
전주 한옥마을 가원당,6
전주 푸실 한옥펜션,6
전주한옥마을 김명옥 별장펜션,6
전주 스페이스셔틀,6
전주 중화산동 포레 호텔,6
전주 톡 게스트하우스,6
전주 들꽃사랑채펜션,5
전주 태조마루 한옥스테이,5
전주 사랑나무한옥펜션,5
전주 한옥마루펜션,5
전주 한옥숙박체험관,5
전주 중화산동 호텔 시그니처,5
전주 천동로선우가,5
전주 푸른요람 한옥스테이,5
전주 풍류가옥,5
대형 샹들리에가 설치된 층 독채 전주 줄리앤소피하우스,5
전주 천년의아침,5
전주 한옥마을 오목헌,5
전주한옥마을 나성하우스,5
전주 포레스트그릴 글램핑,5
전주 인후동 뉴하얏트,5
전주 아침정원 게스트하우스,5
전주 우아동 레드,5
전주 한옥이야기펜션,5
전주 우아동 블랙스톤,4
전주 청사초롱 태조로점,4
전주 소소정,4
전주 가원당 한옥스테이,4
전주 한옥미쁨펜션,4
전주 한옥펜션 첼로네,4
전주 명문가 한옥스테이,4
전주 앤 게스트하우스,4
완주 편백숲황토펜션,4
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 제제의 미학,4
전주 한옥마을 하늘풍경,4
전주 한옥마을 푸른요람,4
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 다시 봄,4
전주 달빛향펜션,4
