name,count
전주 스테이 호텔(stay),50
전주 그리운집 한옥스테이,50
전주 별빛궁 한옥스테이,49
전주 꽃잠펜션,49
전주 어울림 한옥스테이,48
전주 우아동 어제처럼,48
전주 중노송동 파인,48
완주 델루나펜션,48
전주 호텔 라임,45
전주 중화산동 호텔사운즈,44
전주 스마일호텔,44
전주 우아동 릴렉스호텔,43
호텔 투썸스테이 전주 서신점,43
전주 꽃자리펜션,43
전주 서노송동 코아,41
전주 꽃무릇펜션,41
전주 소담소담펜션,40
전주 산정동 하운드호텔 전주아중지구,39
전주 고사동 호텔한성,38
전주 더 메이 호텔,37
전주 대명여관펜션,37
전주 사랑루 한옥스테이,37
완주 소풍가는날펜션,37
전주 교동가온 한옥스테이,36
전주 엑스오 XO 호텔,36
전주 우아동 호텔 늘,35
전주한옥마을 게스트하우스,35
전주 1928 쉼마루 한옥스테이,35
호텔어라이브 전주 시화연풍,35
전주 한옥고택고을,34
전주 흥부가 한옥스테이,33
전주 고사동 씨네마,33
아늑호텔 전주점,33
전주 니어리스트 게스트하우스,33
MH HOTEL 중화산점,33
전주 사랑가득 한옥스테이,32
전주 인터내셔널 호스텔,31
전주 한옥마을덕수궁펜션,31
전주 금암동 아리랑 호텔,31
전주 알지비 게스트하우스,30
전주 효자동 캐슬,30
전주 제니홈 게스트하우스,30
전주 한옥마을 어린왕자 게스트하우스,28
전주 산정동 태극,28
전주한옥마을호텔,28
전주 태평동 케이비호텔,28
전주 덕진동 타미,27
전주 푸실한옥스테이펜션,27
전주 뜰안채 한옥스테이,27
전주 별빛궁한옥펜션,27
전주 우아동 맨하탄,26
전주 한옥마을 꼴 게스트하우스,26
전주 산정동 료칸호텔-엣지,25
전주 가락청한옥펜션,25
완주 카리브,25
전주 전주한옥온유,23
전주 행복가득 한옥스테이,23
전주 산정동 호텔 레이나,23
전주 한옥마을비하녹,23
전주 한옥마을숙박 꿈 한옥스테이,22
카누 호텔,21
전주 행복가득한옥펜션,21
전주 취락당 펜션,21
완주 째즈호텔,21
전주 다정 한옥스테이,20
익산 하늘숲펜션,20
전주 한옥마당 펜션,20
전주 한옥마을장수펜션,19
전주 꽃자리 한옥스테이,18
김제 라온펜션,17
전주 두울나비랑 한옥스테이,17
전주 한옥마을 인디고,17
전주 전주이야기펜션,17
전주 소리풍경 한옥스테이,17
전주 유정 게스트하우스,16
전주 하운드호텔 덕진점,16
전주 우아동 월드,16
에이치에비뉴호텔 덕진점,16
전주 몽유화원 한옥스테이,16
전주 우아동 수,16
전주 한옥 스테이 사라,15
전주 우아동 올렛,15
전주 서노송동 기린장,15
전주 독채펜션달빛소리,15
완주 HOTEL ONE,15
전주 우아동 D드라이브인 무인텔,15
전주 혜윰 한옥스테이,14
전주 한옥마을 독채 강령전,14
전주 산정동 큐피트,14
전주 아침스테이,14
전주 덕진동 연화,14
전주 한옥마을 더정가스테이,14
완주 하늘아래첫집펜션,13
전주 영하우스,13
전주 한옥솔솔 스테이,13
전주 연우당 한옥스테이,13
전주 풍남가족호텔(구.풍남관광호텔),13
완주 편백숲이야기펜션,13
전주 향교길선우가펜션,13
전주 분 게스트하우스,13
전주 우아동 CF(씨에프),12
전주 웨이,12
넘버25호텔 전주산정점,12
전주 안녕제제 게스트하우스,12
전주 스테이리봄,12
전주 어울림게스트하우스,12
전주 서서학동 나나,12
전주 한옥마을너울가지,12
완주 모악펜션,11
전주 금암동 가온텔,11
전주 금암동 나라,11
전주 한옥이야기 스테이,10
전주 그네 한옥스테이,10
전주 중화산동 파라다이스,10
전주 금암동 쇼 드라이브인,10
완주 숲속의정원펜션,10
전주 가인,10
전주 예원당 한옥스테이,9
전주 중화산동 루이,9
전주 인후동 라임 무인텔,9
전주 그림 한옥스테이,9
전주 소리풍경 펜션,9
전주 푸른솔펜션,8
전주 호텔 투썸스테이 중화산점,8
전주 천년의아침 한옥스테이,8
전주 한옥마을돼지꿈한옥펜션,8
전주 오래된미래 게스트하우스,8
전주 대명여관 게스트하우스,7
전주 한옥마을 건축문화상 수상한 이가한옥 펜션,7
전주 한옥마을하늘애한옥펜션,7
전주 단경펜션,7
전주 좋은날한옥펜션,7
전주 이오당펜션,7
전주 한옥마당 스테이,7
전주 한옥고희펜션,7
전주 톡 게스트하우스,6
전주 스페이스셔틀,6
완주 휴 모텔,6
전주 더정가스테이,6
전주 한옥마을 한옥독채풀빌라스테이소월,6
전주 중화산동 포레 호텔,6
전주 한옥다락 스테이 1호점,6
전주 민트 게스트하우스,5
전주 한옥이야기펜션,5
전주 한옥숙박체험관,5
전주 천동로선우가,5
전주 사랑나무한옥펜션,5
전주 한옥마루펜션,5
전주 푸른요람 한옥스테이,5
전주 인후동 뉴하얏트,5
전주 우아동 레드,5
전주 중화산동 호텔 시그니처,5
전주 태조마루 한옥스테이,5
전주 들꽃사랑채펜션,5
전주 명문가 한옥스테이,4
전주 청사초롱 태조로점,4
전주 한옥펜션 첼로네,4
전주 우아동 블랙스톤,4
전주 가원당 한옥스테이,4
아늑료칸호텔 전주점,4
전주 한옥미쁨펜션,4
완주 편백숲황토펜션,4
전주 소소정,4
전주 달빛향펜션,4
전주 소소한 한옥,4
전주 윈,3
전주 자요 게스트하우스,3
전주 한옥솔솔펜션,3
전주 신시가지 스테이호텔,3
전주 시인과짜몽 게스트하우스,3
전주 한옥독채 하현,3
전주 한옥마을 한옥숙박예쁘다펜션,3
전주 우아동 우아장,3
전주 라온 꿀잠 한옥스테이,3
전주 은행로 86.2 게스트하우스,3
전주 브라운도트 덕진점,3
전주 궁호텔,3
전주 별둘 자쿠지 독채 펜션,3
전주 교동외갓집 한옥스테이,3
전주 부경당 한옥스테이,3
전주 금암동 스카이쇼1 무인텔,3
전주 천년의아침한옥펜션,3
전주 메이드호텔,3
완주 S 모텔,2
전주 우아동 청담,2
전주 어린왕자게스트하우스,2
전주 한옥고희,2
전주 다정한옥펜션,2
전주 휴게스트하우스,2
전주 한옥토박이펜션,2
전주 앤 게스트하우스,2
전주 한옥마을 예당한옥펜션,2
전주 별하게스트하우스펜션,2
전주 한옥마을 나무그늘펜션,2
전주 제인당풍남동점펜션,2
전주 한옥마을 호스텔 Ark,2
전주 한옥마을 풍경게스트앤호텔,2
완주 그린파크장,2
전주 꽃마르트 한옥스테이,2
전주 백희게스트하우스펜션,2
전주 별하 게스트하우스,2
전주 별빛쉼터게스트하우스,2
전주 진북동 하얀,2
전주 한옥마을숙박 가인당 안채,2
전주 대성정담한옥펜션,2
전주 교동백작 한옥스테이,2
전주 한옥마을김명옥숙박문화관펜션,2
전주 한옥마을이화고택펜션,2
전주 달달잠 한옥스테이,2
전주 한옥마을풍남헌고택펜션,2
전주 좋은날 한옥스테이,2
