name,category,rating_score,rating_count,address
이츠 호텔 전주,호텔비즈니스,10.0,14,전북특별자치도 전주시 덕진구 우아동2가 929-10
전주 라임 호텔HOTEL LIME,모텔,9.8,824,전북특별자치도 전주시 덕진구 우아동2가 930-12
전주 감스테이,모텔,9.6,631,전북특별자치도 전주시 덕진구 산정동 857-9
전주 한옥마을 골목길 게스트하우스,게하 · 한옥,9.4,295,전북특별자치도 전주시 완산구 교동 45-6
전주 한옥 몽유화원,게하 · 한옥,8.8,98,전북특별자치도 전주시 완산구 서서학동 186-1
전주 브라이튼호텔,호텔비즈니스,9.8,84,전북특별자치도전주시 완산구 중화산동2가 143-17
전주 에이플러스,모텔,9.6,545,전북특별자치도 전주시 덕진구 산정동 868-4
전주 한옥마을 꽃잠,게하 · 한옥,9.9,400,전라북도 전주시 완산구 풍남동2가 31-7
전주 Stay 테오리아,펜션,9.9,10,전북특별자치도 전주시 완산구 풍남동1가 40-3
전주 인트로 호텔,모텔,9.4,41,전북특별자치도 전주시 완산구 중화산동2가 664-5
전주 라베호텔,호텔비즈니스,9.6,218,전북특별자치도전주시 완산구 중화산동2가 143-18
전주한옥마을 독채 덕수궁,게하 · 한옥,9.7,69,전라북도 전주시 완산구 풍남동3가 76-20
재즈 어라운드 관광 호텔,호텔관광,9.6,175,전북특별자치도전주시 덕진구 우아동2가 921-7
전주 서로 한옥펜션,펜션,9.4,69,전북특별자치도 전주시 완산구 풍남동3가 54-11
전주한옥마을 연우당,게하 · 한옥,9.9,96,전북특별자치도 전주시 완산구 풍남동3가 54-1
늘품호텔,호텔1성급,9.4,254,전북특별자치도전주시 완산구 풍남동3가 29-3
전주 스토리,모텔,9.6,642,전북특별자치도 전주시 덕진구 금암동 764-2
전주한옥마을 하늘기와,게하 · 한옥,10.0,8,전북특별자치도 전주시 완산구 교동 171
전주 타미호텔TOMMY HOTEL,모텔,9.0,192,전북특별자치도 전주시 덕진구 덕진동2가 189-26
전주 호텔아지트 신시가지점,호텔비즈니스,9.1,76,전북특별자치도전주시 완산구 효자동3가 1532-13
별둘 자쿠지 독채 펜션,펜션,9.8,10,전북특별자치도 전주시 완산구 남노송동 67-14
전주 갤러리 스테이,게하 · 한옥,9.9,240,전북특별자치도 전주시 완산구 풍남동1가 20-1
전주한옥마을 덕수궁,게하 · 한옥,9.7,326,전라북도 전주시 완산구 풍남동3가 6
전주 한옥 영하우스,펜션,9.7,47,전북특별자치도전주시 완산구 서노송동 659-6
전주 자우리,모텔,9.5,553,전북특별자치도 전주시 덕진구 우아동2가 929-2
전주 바른 숙박BARUN STAY,모텔,9.3,133,전북특별자치도전주시 덕진구 산정동 858-2
