name,category,rating_score,rating_count,address,source,image,lat,lng
전주 포레스트그릴 글램핑,캠핑 · 글램핑,9.6,5,전북특별자치도 전주시 완산구 학봉1길 39,y,전주 포레스트그릴 글램핑.jpg,35.8018185,127.1516586
전주 한옥체험 모꼬지,게하 · 한옥,9.8,277,전북특별자치도 전주시 완산구 향교길 124-6,y,전주 한옥체험 모꼬지.jpg,35.8118211,127.156213
전주 엠파이어,모텔,9.1,228,전북특별자치도 전주시 완산구 한두평1길 13-3,y,전주 엠파이어.jpg,35.8128155,127.124236
전주 1박2일,모텔,8.9,354,전북특별자치도 전주시 덕진구 도당산4길 26,y,전주 1박2일.jpg,35.8474408,127.158597
전주 알프스,모텔,8.6,638,전북특별자치도 전주시 완산구 한두평1길 13-5,y,전주 알프스.jpg,35.8129534,127.1242667
전주 한옥마을 그리운 집,게하 · 한옥,9.7,62,전북특별자치도 전주시 완산구 향교길 23-3,y,전주 한옥마을 그리운 집.jpg,35.8118243,127.1507568
전주 황실관광호텔,호텔1성급,8.8,311,전북특별자치도 전주시 완산구 은행로 22,y,전주 황실관광호텔.jpg,35.8179308,127.1516817
전주 한옥마을 별자리,게하 · 한옥,9.9,179,전북특별자치도 전주시 완산구 최명희길 26-17,y,전주 한옥마을 별자리.jpg,35.8165353,127.1512615
전주 한옥 독채 꽃마르트,홈&빌라,9.9,15,전북특별자치도 전주시 완산구 곤지산3길 14-27,y,전주 한옥 독채 꽃마르트.jpg,35.8077992,127.1460101
전주 이가 한옥 본관,게하 · 한옥,9.4,167,전북특별자치도 전주시 완산구 간납로 8,y,전주 이가 한옥 본관.jpg,35.8165897,127.1555845
전주 한옥마을 한옥솔솔,게하 · 한옥,9.8,127,전북특별자치도 전주시 완산구 최명희길 31,y,전주 한옥마을 한옥솔솔.jpg,35.8156907,127.1510991
전주 투나잇2NIGHT,모텔,9.7,662,전북특별자치도 전주시 덕진구 아중4길 16,y,전주 투나잇2NIGHT.jpg,35.83061,127.1734188
전주 샵 호텔SHARP HOTEL,모텔,9.7,665,전북특별자치도 전주시 덕진구 산정3길 22,y,전주 샵 호텔SHARP HOTEL.jpg,35.8386203,127.1697708
전주 마리호텔,모텔,9.8,188,전북특별자치도 전주시 덕진구 아중중앙로 26,y,전주 마리호텔.jpg,35.8305833,127.1721318
