name,category,rating_score,rating_count,feature,addr,source,image,lat,lng
전주 우아동 이츠 호텔,모텔/호텔,4.8,1265,한옥마을10분 전주역2분,전북특별자치도 전주시 덕진구 아중2길 18-6,n,전주 우아동 이츠 호텔.jpg,35.8297675,127.1736449
전주 중화산동 투썸호텔,모텔/호텔,4.9,750,전주 한옥마을막걸리타운 차량 10분,전북특별자치도 전주시 완산구 한두평2길 13-3,n,전주 중화산동 투썸호텔.jpg,35.8139494,127.1239652
전주 호텔 아라리,모텔/호텔,4.7,118,전주 고속 버스터미널 도보 5분 거리,전북특별자치도 전주시 덕진구 떡전5길 24,n,전주 호텔 아라리.jpg,35.8376717,127.1304975
전주 중화산동 화려한외출Ⅱ,모텔/호텔,4.4,1272,전주시 완산구 중화산동2가 14219,전북특별자치도 전주시 완산구 한두평2길 8-11,n,전주 중화산동 화려한외출Ⅱ.jpg,35.812679,127.1236124
전주 신시가지 제이메이트 호텔,모텔/호텔,4.7,378,전북특별자치도청 도보 8분위치보기,전북특별자치도 전주시 완산구 홍산북로 60-12,n,전주 신시가지 제이메이트 호텔.jpg,35.8170686,127.1079873
전주 한옥마을 별자리,펜션,4.8,180,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 최명희길 26-17,n,전주 한옥마을 별자리.jpg,35.8165353,127.1512615
전주한옥마을 황실관광호텔,모텔/호텔,4.6,432,전주한옥마을 안에 위치,전북특별자치도 전주시 완산구 은행로 22,n,전주한옥마을 황실관광호텔.jpg,35.8179308,127.1516817
전주 왕의지밀 한옥호텔,모텔/호텔,4.3,297,전주 한옥마을 차량 7분,전북특별자치도 전주시 완산구 춘향로 5218-20,n,전주 왕의지밀 한옥호텔.jpg,35.8005168,127.1771084
전주 우아동 명품 HOTEL,모텔/호텔,4.7,189,전주역 도보 5분위치보기,전북특별자치도 전주시 덕진구 우아1길 6,n,전주 우아동 명품 HOTEL.jpg,35.8487277,127.156276
전주 한옥마을담소황토펜션,펜션,4.6,142,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 향교길 71,n,전주 한옥마을담소황토펜션.jpg,35.8120995,127.1535327
전주 한옥마을 취락당,게스트하우스,4.8,182,한옥마을 내 위치,전북특별자치도 전주시 완산구 동문길 33-19,n,전주 한옥마을 취락당.jpg,35.8185928,127.1527228
전주 칸,모텔/호텔,4.5,1628,한옥마을 10분 전주역 2분 터미널 7분,전북특별자치도 전주시 덕진구 산정2길 24-3,n,전주 칸.jpg,35.8384792,127.1688166
전주 마리 호텔,모텔/호텔,4.9,237,전주한옥마을 297 자동차로 10분,전북특별자치도 전주시 덕진구 아중중앙로 26,n,전주 마리 호텔.jpg,35.8305833,127.1721318
전주 더그레이호텔,모텔/호텔,4.8,855,전주에코시티 신축호텔,전북특별자치도 전주시 덕진구 세병서로 18-6,n,전주 더그레이호텔.jpg,35.8713325,127.1239771
전주 스토리,모텔/호텔,4.8,532,전주터미널전북대전주종합경기장 근접위치,전북특별자치도 전주시 덕진구 용산2길 8,n,전주 스토리.jpg,35.8357545,127.1315502
전주 한옥호텔 태조궁,모텔/호텔,4.6,75,전주한옥마을 약 12,전북특별자치도 전주시 완산구 전라감영로 40,n,전주 한옥호텔 태조궁.jpg,35.8151442,127.1434894
전주 돈키호테 드라이브인 무인텔,모텔/호텔,4.5,222,전주역 차량 5분위치보기,전북특별자치도 전주시 덕진구 산정3길 17,n,전주 돈키호테 드라이브인 무인텔.jpg,35.8381304,127.1696748
전주 몽블랑,모텔/호텔,4.7,472,중화산동 인근 2309 리모델링 완료,전북특별자치도 전주시 완산구 한두평2길 11,n,전주 몽블랑.jpg,35.8137043,127.1241696
전주 우아동 하얏트,모텔/호텔,4.3,700,전주역 도보 5분눌러서 위치 확인,전북특별자치도 전주시 덕진구 도당산로 65,n,전주 우아동 하얏트.jpg,35.8473382,127.1573496
전주 고사동 전주관광호텔,모텔/호텔,3.9,1694,전주시청 인근 위치 위치보기,전북특별자치도 전주시 완산구 전주객사5길 44-5,n,전주 고사동 전주관광호텔.jpg,35.8204777,127.1454356
